Player,Season,G,GS,MP,FGM,FGA,FGP,X3PM,X3PA,X3PP,X2PM,X2PA,X2PP,EFG,FTM,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS,X3PAR,FTR,ORBP,DRBP,TRBP,ASTP,STLP,BLKP,TOVP,USG,OWS,DWS,WS,WS48,OBPM,DBPM,BPM,VORP
Jimmy Butler,2021.0,-7.0,-7.0,-0.19999999999999574,1.1999999999999993,1.0999999999999996,0.04099999999999998,-0.09999999999999998,-0.20000000000000018,-0.03,1.1999999999999993,1.3000000000000007,0.04500000000000004,0.03600000000000003,-0.6999999999999993,-1.0,0.027000000000000024,0.0,0.2999999999999998,0.20000000000000018,1.2000000000000002,0.30000000000000004,-0.19999999999999996,-0.10000000000000009,0.0,1.6000000000000014,2.8999999999999986,0.019000000000000017,-0.021999999999999992,-0.127,0.0,1.5999999999999996,0.8000000000000007,7.399999999999999,0.5,-0.5,-0.8000000000000007,1.5999999999999979,0.10000000000000053,-0.10000000000000009,0.09999999999999964,0.032,1.0,0.8999999999999999,2.0,0.39999999999999947
Joe Harris,2021.0,0.0,-4.0,0.1999999999999993,-0.2999999999999998,-1.200000000000001,0.019000000000000017,0.6000000000000001,0.5,0.05099999999999999,-0.8999999999999999,-1.7000000000000002,0.0020000000000000018,0.05800000000000005,-0.20000000000000007,-0.4,0.05900000000000005,-0.30000000000000004,-0.3999999999999999,-0.6999999999999997,-0.20000000000000018,0.09999999999999998,0.0,-0.6,-0.2999999999999998,-0.40000000000000036,0.7999999999999989,0.05700000000000005,0.10999999999999999,-0.02500000000000001,-0.9000000000000004,-1.0999999999999996,-0.8999999999999995,-2.0,0.09999999999999998,-0.09999999999999998,-3.3999999999999995,-2.1000000000000014,1.7000000000000002,-0.8,0.9000000000000004,0.020000000000000004,1.2999999999999998,-0.9,0.4,0.19999999999999996
Joe Ingles,2021.0,-8.0,-18.0,-1.8999999999999986,0.8000000000000003,0.6000000000000005,0.05299999999999999,0.7999999999999998,1.0999999999999996,0.06,-0.10000000000000009,-0.5,0.07599999999999996,0.09200000000000008,0.10000000000000009,0.0,0.05799999999999994,0.0,-0.2999999999999998,-0.19999999999999973,-0.5,-0.20000000000000007,0.0,-0.30000000000000004,-0.30000000000000004,2.3999999999999986,3.5999999999999996,0.08800000000000008,0.08499999999999996,-0.013000000000000012,0.30000000000000004,-0.6999999999999993,-0.20000000000000018,-0.3999999999999986,-0.30000000000000004,0.09999999999999998,-3.0,1.4000000000000004,2.0,0.0,2.1000000000000005,0.077,3.0,0.0,3.0,1.0
Joel Embiid,2021.0,-2.0,-2.0,1.8999999999999986,1.8000000000000007,2.3000000000000007,0.039000000000000035,0.09999999999999987,-0.2999999999999998,0.045999999999999985,1.6999999999999993,2.5999999999999996,0.028000000000000025,0.03700000000000003,2.5999999999999996,2.5,0.052999999999999936,-0.5,-0.5,-0.9000000000000004,-0.10000000000000009,0.09999999999999998,0.09999999999999987,0.0,-1.0,6.199999999999999,5.300000000000001,0.050000000000000044,-0.043999999999999984,0.07099999999999995,-2.1000000000000014,-4.200000000000003,-2.8999999999999986,-0.3999999999999986,0.10000000000000009,0.2999999999999998,-1.9000000000000004,2.6000000000000014,2.5,0.3999999999999999,2.9000000000000004,0.08600000000000002,3.0,0.10000000000000009,3.0999999999999996,1.2999999999999998
John Collins,2021.0,19.0,19.0,-3.6000000000000014,-1.6999999999999993,-2.4000000000000004,-0.02399999999999991,-0.09999999999999987,-0.30000000000000027,-0.013000000000000012,-1.5,-2.0999999999999996,-0.02200000000000002,-0.02200000000000002,-0.19999999999999973,-0.5,0.03299999999999992,-0.7999999999999998,-1.7000000000000002,-2.5999999999999996,-0.19999999999999996,-0.20000000000000007,-0.6000000000000001,-0.5,-0.2999999999999998,-3.8000000000000007,-2.8000000000000007,-0.015000000000000013,0.02100000000000002,0.010000000000000009,-1.5999999999999996,-3.6999999999999993,-2.3999999999999986,-0.5,-0.20000000000000007,-1.1999999999999997,-1.299999999999999,-0.5,0.9000000000000004,0.5,1.5,-0.0020000000000000018,-1.2000000000000002,0.19999999999999996,-1.0,0.19999999999999996
Jonas Valanciunas,2021.0,-10.0,-11.0,1.7000000000000028,0.7999999999999998,1.4000000000000004,0.0,-0.09999999999999998,-0.30000000000000004,0.016000000000000014,1.0,1.6999999999999993,-0.013000000000000012,-0.006000000000000005,0.2999999999999998,0.30000000000000027,0.02200000000000002,1.0999999999999996,0.20000000000000107,1.1999999999999993,-0.09999999999999987,0.19999999999999996,-0.20000000000000007,-0.19999999999999996,0.2999999999999998,1.9000000000000004,1.8000000000000007,-0.0040000000000000036,-0.044,-0.008000000000000007,2.9000000000000004,-0.30000000000000426,1.0,-0.9000000000000004,0.19999999999999996,-0.6000000000000001,-2.5,1.0,0.5,-0.2999999999999998,0.20000000000000018,0.023999999999999994,0.6999999999999997,-0.7,-0.10000000000000009,-0.19999999999999996
Jordan Bell,2021.0,-24.0,1.0,4.6,0.19999999999999996,1.7000000000000002,-0.17200000000000004,-0.1,0.0,-0.333,0.2999999999999998,1.7000000000000002,-0.17499999999999993,-0.20200000000000007,-0.7,-1.1,-0.613,0.19999999999999996,0.8,1.0,0.4,0.5,0.3,-0.09999999999999998,0.30000000000000004,-0.40000000000000036,-5.4,-0.22699999999999998,-0.07899999999999999,-0.463,-2.5,-1.3000000000000007,-1.6999999999999993,0.5999999999999996,1.6,0.5,-7.699999999999999,-2.1999999999999993,-0.30000000000000004,-0.1,-0.4,-0.07500000000000001,-3.3000000000000003,0.30000000000000004,-3.0,-0.1
Jordan Clarkson,2021.0,-6.0,-1.0,2.6000000000000014,1.0999999999999996,3.5,-0.03400000000000003,0.8999999999999999,3.000000000000001,-0.024999999999999967,0.20000000000000018,0.5,-0.016000000000000014,-0.027000000000000024,-0.09999999999999987,-0.19999999999999973,0.06000000000000005,0.0,1.5,1.4999999999999996,0.5,0.30000000000000004,0.0,0.30000000000000004,0.10000000000000009,2.8000000000000007,-0.6999999999999993,-0.030999999999999917,0.08200000000000007,-0.059,-0.3999999999999999,4.200000000000001,2.0,1.8000000000000007,0.30000000000000004,-0.30000000000000004,-0.09999999999999964,3.3000000000000007,-1.0999999999999999,1.2999999999999998,0.20000000000000018,0.0050000000000000044,-0.7999999999999998,0.30000000000000004,-0.5000000000000001,-0.19999999999999996
Jordan McLaughlin,2021.0,18.0,0.0,-1.0,-1.0,-1.1000000000000005,-0.08799999999999997,-0.4,-0.7,-0.030000000000000027,-0.5999999999999999,-0.3999999999999999,-0.13799999999999996,-0.10199999999999992,-0.4,-0.7000000000000001,0.119,0.2,0.30000000000000004,0.5,-0.30000000000000027,-0.10000000000000009,0.0,0.0,-0.09999999999999998,-2.5999999999999996,-4.600000000000001,-0.09799999999999998,-0.04799999999999999,-0.098,1.0999999999999999,2.6000000000000005,1.7999999999999998,-2.8000000000000007,-0.10000000000000009,0.0,3.3000000000000007,-2.1000000000000014,-0.7000000000000001,0.19999999999999996,-0.5,-0.07400000000000001,-2.5999999999999996,-0.1,-2.6999999999999997,-0.4
Jordan Poole,2021.0,-8.0,-8.0,-3.3999999999999986,0.8999999999999999,0.1999999999999993,0.09099999999999997,0.5,0.7000000000000002,0.06699999999999995,0.3999999999999999,-0.5,0.14400000000000002,0.12,0.19999999999999996,0.10000000000000009,0.07899999999999996,0.09999999999999998,-0.3999999999999999,-0.40000000000000013,-0.5,-0.09999999999999998,0.0,-0.4,0.09999999999999987,2.5999999999999996,7.1000000000000005,0.11699999999999994,0.05899999999999994,0.0020000000000000018,0.8,-1.5,-0.09999999999999964,-0.7000000000000011,-0.10000000000000009,0.10000000000000009,-3.200000000000001,3.5,2.4000000000000004,0.4,2.8,0.13,4.800000000000001,0.7000000000000002,5.5,1.7
