"","Player","Season","Pos","Age","Tm","G","GS","MP","FGM","FGA","FGP","X3PM","X3PA","X3PP","X2PM","X2PA","X2PP","EFG","FTM","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS","X3PAR","FTR","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USG","OWS","DWS","WS","WS48","OBPM","DBPM","BPM","VORP","MVP","DPOY"
"109","DeMarcus Cousins",2021,"C",30,"TOT",39,11,17.7,3.2,7.6,0.417,1.2,3.5,0.348,1.9,4.1,0.475,0.497,1.5,2.1,0.725,1.3,5.3,6.6,1.9,0.8,0.6,1.6,2.6,9,16,0.531,0.458,0.271,8,32.9,20,16.4,2.1,3,15.8,24.5,-0.1,1.1,1,0.071,-1.2,1.7,0.4,0.4,0,0
"110","Robert Covington",2021,"PF",30,"POR",67,67,32,2.9,7.3,0.399,1.9,5.1,0.38,1,2.2,0.443,0.532,0.7,0.9,0.825,0.9,5.8,6.7,1.7,1.4,1.2,0.9,2.7,8.5,11.2,0.551,0.697,0.116,2.8,20,11.1,6.9,2.2,3.4,10.9,11.6,1.3,2.2,3.5,0.078,-1.5,1.2,-0.3,0.9,0,0
"111","Torrey Craig",2021,"SF",30,"TOT",47,8,15.7,2,4.4,0.466,0.7,2.1,0.361,1.3,2.3,0.56,0.551,0.3,0.4,0.75,1.1,2.7,3.9,0.9,0.5,0.5,0.5,1.6,5.1,13.4,0.563,0.471,0.097,8,19,13.6,7.5,1.6,3,10.4,14.3,0.8,1,1.8,0.118,-0.6,0.5,-0.1,0.3,0,0
"112","Jae Crowder",2021,"PF",30,"PHO",58,40,27.4,3.3,8.2,0.407,2.5,6.4,0.392,0.8,1.8,0.458,0.559,1,1.3,0.76,0.5,4.2,4.7,2.1,0.8,0.4,0.9,2.1,10.2,12.1,0.578,0.776,0.157,2.3,16.9,9.7,10.2,1.4,1.4,9.4,15.8,1.5,1.8,3.3,0.1,0.3,0.6,0.9,1.2,0,0
"113","Jarrett Culver",2021,"SG",21,"MIN",34,7,14.7,2,4.9,0.411,0.4,1.6,0.245,1.6,3.4,0.487,0.449,0.9,1.4,0.604,1,2.1,3.1,0.7,0.5,0.3,0.8,1.7,5.3,8.8,0.476,0.315,0.286,7.1,15.8,11.3,6.8,1.6,1.6,12.9,18.2,-0.4,0.3,-0.1,-0.005,-4.8,-1.8,-6.6,-0.6,0,0
"114","Seth Curry",2021,"SG",30,"PHI",55,55,28.9,4.5,9.8,0.462,2.2,4.9,0.443,2.3,4.8,0.481,0.574,1.2,1.4,0.893,0.2,2.2,2.4,2.8,0.8,0.1,1.1,1.7,12.4,12.7,0.599,0.505,0.14,0.7,8.1,4.5,13.7,1.3,0.5,9.8,17.1,2.1,1.7,3.8,0.116,-0.2,-0.9,-1,0.4,0,0
"115","Stephen Curry",2021,"PG",32,"GSW",62,62,34.1,10.4,21.4,0.483,5.3,12.6,0.421,5.1,8.9,0.571,0.606,5.8,6.3,0.918,0.5,5,5.5,5.7,1.2,0.1,3.3,1.9,31.8,26.3,0.656,0.586,0.293,1.4,15.4,8.5,30.2,1.7,0.3,12.1,34.5,6.5,2.5,8.9,0.203,8,0,8.1,5.4,0,0
"116","Nate Darling",2021,"SG",22,"CHO",7,0,3.7,0.3,1,0.286,0.3,1,0.286,0,0,0,0.429,0.4,0.4,1,0.1,0,0.1,0.1,0,0.1,0.1,0.1,1.3,8.2,0.541,1,0.429,4.1,0,2.1,5.1,0,3.8,10.7,15.4,0,0,0,0.039,-1.5,-2.7,-4.2,0,0,0
"117","Anthony Davis",2021,"PF",27,"LAL",34,34,32.2,8.4,17.1,0.492,0.7,2.7,0.269,7.7,14.4,0.535,0.514,4.3,5.8,0.732,1.8,6.2,8,3.1,1.2,1.7,2.1,1.7,21.9,22.2,0.555,0.16,0.34,6.2,21.5,13.9,16.6,1.9,4.8,9.7,29.5,1.2,2.3,3.4,0.151,3,1.7,4.7,1.9,0,0
"118","Ed Davis",2021,"C",31,"MIN",23,7,13,0.8,1.9,0.432,0,0,0,0.8,1.9,0.432,0.432,0.4,0.5,0.833,2,3,5,0.9,0.6,0.6,0.3,2.4,2.1,13.1,0.487,0,0.273,16.1,25.9,20.8,9,2.1,3.8,12.4,7.9,0.5,0.4,0.8,0.136,-3.5,0.7,-2.9,-0.1,0,0
"119","Terence Davis",2021,"SG",23,"TOT",58,4,17,3.1,7.1,0.436,1.6,4.2,0.372,1.5,2.9,0.527,0.545,0.7,0.8,0.837,0.3,2.1,2.4,1.3,0.7,0.2,1,1.5,8.4,12.7,0.565,0.589,0.119,1.8,13.9,7.7,11.7,1.9,1.2,12.2,21.5,0.2,0.7,0.8,0.041,-0.9,-1,-2,0,0,0
"120","Gabriel Deck",2021,"PF",25,"OKC",8,0,20.9,2.9,6.8,0.426,0.1,1.6,0.077,2.8,5.1,0.537,0.435,1.6,2.1,0.765,1.8,2.4,4.1,2.5,1,0,0.4,1,7.5,15.2,0.488,0.241,0.315,8.6,12,10.3,18,2.3,0,4.7,16.4,0.2,0.1,0.4,0.103,-1.3,-0.1,-1.4,0,0,0
"121","Dewayne Dedmon",2021,"C",31,"MIA",14,0,13.5,3,4.1,0.737,0,0.3,0,3,3.8,0.792,0.737,1.4,1.8,0.76,1.7,3.8,5.5,0.9,0.6,0.4,0.8,2,7.4,25.9,0.757,0.07,0.439,14.8,31.4,23.2,10.8,2.1,3.3,13.9,18.8,0.7,0.4,1.1,0.276,2.3,1.1,3.4,0.3,0,0
"122","Matthew Dellavedova",2021,"PG",30,"CLE",13,1,17.2,1.1,4.3,0.25,0.3,1.9,0.16,0.8,2.4,0.323,0.286,0.3,0.3,1,0.5,1.4,1.8,4.5,0.3,0.1,0.5,1.6,2.8,7.3,0.312,0.446,0.071,2.9,9.3,6,35.2,0.9,0.4,9.4,12.4,-0.1,0.1,0,0.004,-4.6,-2,-6.6,-0.3,0,0
"123","DeMar DeRozan",2021,"PF",31,"SAS",58,58,33.9,7.4,15.1,0.49,0.3,1.3,0.247,7.1,13.8,0.512,0.5,6.4,7.2,0.883,0.7,3.6,4.2,7.1,0.9,0.3,1.9,2.1,21.5,21.9,0.588,0.084,0.481,2.1,11.4,6.7,32.4,1.3,0.6,9.6,26,5.6,1.5,7.2,0.176,3.4,-0.2,3.2,2.5,0,0
"124","Mamadi Diakite",2021,"PF",24,"MIL",12,0,8.5,1,2.4,0.414,0.1,0.6,0.143,0.9,1.8,0.5,0.431,0.5,0.5,1,0.5,1.8,2.3,0.5,0.3,0.4,0.3,1,2.6,12.1,0.49,0.241,0.207,6.4,20.9,13.9,7.3,1.8,4.4,8.7,14.2,0.1,0.2,0.2,0.1,-3.2,0.7,-2.6,0,0,0
"125","Hamidou Diallo",2021,"SG-SF",22,"TOT",50,7,23.2,4.2,8.9,0.477,0.5,1.5,0.365,3.7,7.4,0.5,0.508,2.4,3.8,0.638,1.2,3.9,5.1,1.9,0.8,0.4,1.4,2.5,11.4,14.3,0.542,0.167,0.423,5.3,18.3,11.7,13.4,1.6,1.7,12,22.1,0.3,1.2,1.5,0.064,-2.1,-0.1,-2.3,-0.1,0,0
"126","Gorgui Dieng",2021,"C",31,"TOT",35,1,14.5,2.1,4.1,0.497,0.8,1.9,0.424,1.3,2.3,0.557,0.593,1.5,1.8,0.857,1,2.6,3.6,1.2,0.7,0.4,0.8,1.5,6.5,18,0.654,0.455,0.434,7.2,19.3,13.2,11.2,2.4,2.6,14.4,16.9,1.1,0.8,1.8,0.172,1,1.3,2.3,0.5,0,0
"127","Spencer Dinwiddie",2021,"SG",27,"BRK",3,3,21.3,2,5.3,0.375,0.7,2.3,0.286,1.3,3,0.444,0.438,2,2,1,0,4.3,4.3,3,0.7,0.3,1.7,1.3,6.7,10.1,0.536,0.438,0.375,0,21.5,11.3,17.7,1.5,1.4,21.2,16.1,0,0.1,0.1,0.044,-3.4,2,-1.4,0,0,0
"128","Donte DiVincenzo",2021,"SG",24,"MIL",64,64,27.4,3.9,9.2,0.422,2,5.2,0.378,1.9,4,0.478,0.529,0.7,1,0.723,1.3,4.4,5.7,3.1,1.1,0.2,1.4,1.7,10.5,13,0.542,0.566,0.111,5,16.3,10.8,14.3,1.9,0.7,12.6,16.8,1.5,2,3.5,0.095,-0.3,0.2,-0.1,0.9,0,0
"129","Luka Doncic",2021,"PG",21,"DAL",63,63,34.5,9.9,20.6,0.48,2.9,8.2,0.351,7,12.3,0.566,0.551,5.3,7.3,0.725,0.8,7.2,8,8.6,1,0.6,4.3,2.3,27.9,25.3,0.588,0.4,0.354,2.7,22.6,12.7,44,1.4,1.5,15.4,36,4.8,2.6,7.4,0.163,6.1,0.6,6.7,4.8,0,0
"130","Luguentz Dort",2021,"SG",21,"OKC",52,52,29.7,4.8,12.3,0.387,2.2,6.3,0.343,2.6,6,0.432,0.475,2.3,3.2,0.744,0.7,2.9,3.6,1.7,0.9,0.4,1.5,2.6,14,10.1,0.513,0.515,0.257,2.5,10.4,6.4,8.9,1.4,1.1,10,21.7,-0.7,1,0.3,0.01,-2.7,-1,-3.7,-0.7,0,0
"131","Damyean Dotson",2021,"SG",26,"CLE",44,7,19.4,2.5,6.3,0.388,1,3.4,0.278,1.5,2.9,0.52,0.464,0.5,0.8,0.667,0.1,1.9,2,2,0.4,0.1,0.9,0.9,6.4,7.6,0.48,0.543,0.129,0.6,11.4,5.9,15,0.9,0.4,11.5,16.9,-0.5,0.3,-0.2,-0.011,-3.6,-1.6,-5.2,-0.7,0,0
