"","Player","Season","Pos","Age","Tm","G","GS","MP","FGM","FGA","FGP","X3PM","X3PA","X3PP","X2PM","X2PA","X2PP","EFG","FTM","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS","X3PAR","FTR","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USG","OWS","DWS","WS","WS48","OBPM","DBPM","BPM","VORP","MVP","DPOY"
"215","Tyler Herro",2021,"SG",21,"MIA",51,14,30.5,5.7,13,0.441,2,5.5,0.364,3.7,7.5,0.497,0.518,1.8,2.2,0.811,0.5,4.5,4.9,3.3,0.7,0.3,1.9,1.3,15.3,13.4,0.546,0.422,0.167,1.7,16.3,9.2,17.5,1.1,1.2,11.8,23.5,0.1,1.5,1.6,0.05,-0.4,-1,-1.4,0.2,0,0
"216","Buddy Hield",2021,"SG",28,"SAC",68,68,34.4,5.7,14,0.407,4,10.2,0.394,1.7,3.8,0.442,0.55,1.3,1.5,0.851,0.4,4.3,4.7,3.5,0.9,0.4,1.8,2.5,16.7,12.8,0.569,0.73,0.106,1.2,14.2,7.6,14,1.3,1.1,11.1,20.7,1.5,0.7,2.1,0.044,0.8,-1.6,-0.9,0.7,0,0
"217","George Hill",2021,"PG",34,"TOT",27,16,22.8,3.3,6.8,0.481,1,2.7,0.365,2.3,4,0.56,0.555,1.3,1.7,0.783,0.6,1.6,2.2,2.5,0.8,0.2,1.1,1,8.9,13.1,0.588,0.404,0.251,2.8,7.5,5.1,16.2,1.6,0.7,12.5,16.1,0.7,0.5,1.2,0.094,-1,-0.5,-1.5,0.1,0,0
"218","Solomon Hill",2021,"PF",29,"ATL",68,14,21.3,1.5,4.2,0.365,1,3,0.325,0.6,1.3,0.459,0.479,0.5,0.6,0.75,0.6,2.4,3,1,0.7,0.2,0.6,1.6,4.5,6.7,0.503,0.705,0.153,3.1,12.3,7.8,6.2,1.6,0.7,11.8,10.5,0.1,1,1.1,0.037,-3,0.1,-2.9,-0.3,0,0
"219","Nate Hinton",2021,"SG",21,"DAL",19,0,4.4,0.7,1.8,0.4,0.2,0.8,0.267,0.5,1.1,0.5,0.457,0.4,0.5,0.7,0.1,0.4,0.5,0.4,0.3,0.1,0.3,0.3,2.1,13.2,0.495,0.429,0.286,1.3,10.4,5.9,13.9,3.5,2.2,11.3,23.4,-0.1,0.1,0.1,0.038,-2.5,1.7,-0.8,0,0,0
"220","Jaylen Hoard",2021,"SF",21,"OKC",17,0,16.2,2.2,4.6,0.487,0,0.5,0,2.2,4.1,0.551,0.487,1.5,2.2,0.684,1.1,2.3,3.4,1.2,0.6,0.2,0.9,1,6,13.1,0.538,0.115,0.487,7.1,15,11,10.9,1.9,1,13.7,16.9,0.1,0.2,0.4,0.064,-2.8,-0.6,-3.3,-0.1,0,0
"221","Aaron Holiday",2021,"PG",24,"IND",66,8,17.8,2.6,6.6,0.39,1,2.8,0.368,1.6,3.8,0.406,0.467,1,1.3,0.819,0.2,1.1,1.3,1.9,0.7,0.2,1,1.4,7.2,9.3,0.503,0.417,0.19,1.4,6.8,4.1,14.1,1.9,0.9,12.3,19.5,-0.6,0.9,0.3,0.011,-3.2,-1,-4.1,-0.6,0,0
"222","Jrue Holiday",2021,"PG",30,"MIL",57,54,32.3,7,13.9,0.503,1.9,4.8,0.396,5.1,9.1,0.559,0.571,1.8,2.3,0.783,1.3,3.3,4.5,5.8,1.7,0.6,2.2,1.7,17.6,19.7,0.593,0.347,0.163,4.3,10.3,7.4,25.4,2.4,1.6,12.8,22.2,4,2.2,6.2,0.162,2.7,0.7,3.3,2.5,0,0
"223","Justin Holiday",2021,"SG",31,"IND",69,49,30.1,3.5,8.6,0.409,2.3,6.2,0.379,1.2,2.4,0.491,0.547,0.9,1.2,0.793,0.4,3.1,3.6,1.6,1.1,0.6,0.7,1.9,10.3,10.4,0.567,0.724,0.139,1.6,11.1,6.4,7,1.7,1.6,7.5,13.9,1.2,1.8,3,0.07,-0.7,-0.3,-1,0.5,0,0
"224","Rondae Hollis-Jefferson",2021,"PF",26,"POR",11,1,9.7,0.8,1.6,0.5,0,0.1,0,0.8,1.5,0.529,0.5,0.8,1.5,0.563,1,1.4,2.4,1.2,0.2,0.4,0.2,1.4,2.5,14.4,0.539,0.056,0.889,10.6,15.4,13,15.7,0.9,3.4,7.4,10.9,0.3,0.1,0.3,0.147,-1.4,0.8,-0.6,0,0,0
"225","Richaun Holmes",2021,"C",27,"SAC",60,60,29.5,6.1,9.5,0.64,0,0.2,0.182,6.1,9.3,0.649,0.642,2.2,2.8,0.793,2.4,6,8.4,1.7,0.7,1.6,1.3,3.6,14.4,20.2,0.672,0.019,0.296,8.9,22.8,15.8,8.2,1.1,4.4,10.4,17.5,4.8,1.3,6.1,0.166,0.6,-0.3,0.3,1,0,0
"226","Rodney Hood",2021,"SF",28,"TOT",55,5,17.1,1.7,4.7,0.362,0.6,2.1,0.301,1.1,2.7,0.408,0.427,0.4,0.5,0.857,0.4,1.5,1.9,1,0.4,0.1,0.7,1.3,4.5,5.6,0.452,0.435,0.108,2.5,9.5,5.9,7.5,1.2,0.7,11.7,14.1,-0.7,0.3,-0.4,-0.019,-5.3,-1.8,-7.1,-1.2,0,0
"227","Al Horford",2021,"C",34,"OKC",28,28,27.9,5.8,12.9,0.45,2,5.4,0.368,3.8,7.4,0.51,0.528,0.6,0.8,0.818,1,5.7,6.7,3.4,0.9,0.9,1,1.7,14.2,17.4,0.538,0.422,0.061,3.8,21.5,12.5,20.2,1.5,3,7.3,21.6,0.7,0.9,1.6,0.1,1.9,1.4,3.3,1,0,0
"228","Talen Horton-Tucker",2021,"SG",20,"LAL",62,3,19.8,3.4,7.5,0.455,0.5,2,0.274,2.8,5.5,0.521,0.491,1.5,1.9,0.791,0.4,2.3,2.7,2.7,1,0.3,1.6,2,8.8,12.6,0.532,0.268,0.249,2.3,12.7,7.5,20.7,2.3,1.5,16.5,21.7,-0.2,2.1,1.9,0.073,-2.7,1.4,-1.4,0.2,0,0
"229","Danuel House",2021,"SF",27,"HOU",36,23,25.9,3.1,7.6,0.404,1.5,4.3,0.346,1.6,3.2,0.483,0.504,1.1,1.8,0.651,0.5,3.2,3.7,1.9,0.6,0.4,1,1.9,8.8,9.1,0.525,0.574,0.232,2,13.6,7.5,10.6,1,1.5,10.7,15.3,0,0.5,0.5,0.027,-2.7,-0.5,-3.1,-0.3,0,0
"230","Dwight Howard",2021,"C",35,"PHI",67,5,17.4,2.6,4.4,0.586,0.1,0.3,0.25,2.5,4.1,0.61,0.594,1.8,3.1,0.577,2.8,5.7,8.4,0.9,0.4,0.9,1.6,2.9,7.1,17.9,0.609,0.067,0.7,17.9,35.2,26.8,7.1,1.2,4.8,21.8,18.3,1.3,2.6,3.9,0.161,-2.2,0.3,-1.8,0,0,0
"231","Markus Howard",2021,"SG",21,"DEN",34,0,3.6,0.5,1.9,0.277,0.2,1.3,0.186,0.3,0.6,0.455,0.338,0.1,0.1,0.6,0,0.4,0.4,0.4,0.1,0,0.3,0.5,1.4,-1.3,0.35,0.662,0.077,0.9,11.1,6.1,13.3,1.2,0,14.1,28,-0.6,0.1,-0.5,-0.199,-10.9,-4.5,-15.4,-0.4,0,0
"232","Kevin Huerter",2021,"SG",22,"ATL",67,48,31,4.6,10.6,0.432,2,5.6,0.364,2.6,5,0.507,0.528,0.7,0.9,0.79,0.5,2.7,3.3,3.5,1.2,0.3,1.1,2.4,12,12.1,0.542,0.527,0.087,1.9,9.6,5.8,16.4,1.9,0.8,9.4,17.1,1.9,1.5,3.4,0.078,-0.7,0.1,-0.6,0.8,0,0
"233","Elijah Hughes",2021,"SF",22,"UTA",17,0,3.6,0.6,1.8,0.333,0.5,1.4,0.348,0.1,0.4,0.286,0.467,0.2,0.2,0.75,0,0.4,0.4,0.4,0.1,0.1,0.4,0.1,1.8,7.9,0.488,0.767,0.133,0,11.5,6,13.9,0.8,1.3,15.9,26.3,-0.1,0.1,0,-0.028,-2.1,-2,-4.1,0,0,0
"234","De'Andre Hunter",2021,"SF",23,"ATL",21,18,30.4,5.5,11,0.5,1.5,4.2,0.348,4,6.7,0.596,0.567,3.1,3.6,0.867,0.8,4.2,5,2,0.9,0.5,1.3,2.6,15.5,16.3,0.62,0.387,0.326,3,14.9,9.1,10,1.4,1.4,9.3,19.8,1.2,0.5,1.8,0.132,1.4,0.1,1.5,0.6,0,0
"235","Chandler Hutchison",2021,"SF",24,"TOT",22,0,13.6,1.6,4.2,0.38,0.3,0.9,0.368,1.3,3.3,0.384,0.418,0.7,0.9,0.842,0.3,2.9,3.1,0.8,0.5,0.2,0.8,1.2,4.2,7,0.463,0.207,0.207,2.2,22.5,12.4,7.4,1.7,1.1,15.2,16.5,-0.4,0.4,-0.1,-0.011,-5.7,-0.2,-6,-0.3,0,0
"236","Serge Ibaka",2021,"C",31,"LAC",39,39,23.6,4.5,8.9,0.507,1,2.8,0.352,3.5,6.1,0.577,0.562,0.9,1.2,0.822,1.7,4.9,6.7,1.7,0.2,1.2,1.1,1.9,10.9,17.5,0.582,0.311,0.13,8.6,22.9,16,10.9,0.5,4.5,10.7,19.8,1.5,1.2,2.7,0.141,1,-0.5,0.4,0.6,0,0
"237","Andre Iguodala",2021,"SF",37,"MIA",61,5,21.2,1.5,4,0.384,1,3,0.333,0.6,1.1,0.523,0.506,0.4,0.6,0.658,0.6,2.9,3.5,2.3,0.9,0.5,1,1.4,4.5,9.5,0.522,0.735,0.155,3.2,15.5,9.4,14.5,2.2,2.7,19.2,11.3,0,1.8,1.8,0.066,-2.4,1.8,-0.5,0.5,0,0
"238","Ersan Ilyasova",2021,"PF",33,"UTA",16,1,8.9,1.3,3.1,0.429,1.1,2.4,0.474,0.2,0.7,0.273,0.612,0.3,0.3,1,0.3,1.4,1.7,0.3,0.6,0.2,0.5,1.8,4.1,13.4,0.635,0.776,0.102,3.9,15.6,10,3.9,3.4,1.7,13.5,17.9,0.1,0.3,0.4,0.146,-1.9,2.2,0.3,0.1,0,0
"239","Joe Ingles",2021,"SF",33,"UTA",64,27,27.8,4.2,8.3,0.498,2.8,6,0.459,1.4,2.3,0.601,0.664,1.1,1.3,0.845,0.4,3.2,3.7,4.7,0.7,0.2,1.7,1.8,12.2,16.2,0.683,0.723,0.157,1.7,11.8,7,24,1.2,0.5,16.3,16.5,4.7,2.1,6.9,0.185,3,0.7,3.7,2.5,0,0
"240","Brandon Ingram",2021,"SF",23,"NOP",61,61,34.3,8.4,18,0.466,2.3,6.1,0.381,6.1,11.9,0.51,0.531,4.6,5.2,0.878,0.6,4.3,4.9,4.9,0.7,0.6,2.5,2,23.8,19.2,0.584,0.341,0.291,1.8,13.8,7.8,22.3,1,1.6,11,28.1,4,1.3,5.3,0.122,3.6,-1.4,2.2,2.2,0,0
"241","Kyrie Irving",2021,"PG",28,"BRK",52,52,35.2,10.3,20.4,0.503,2.8,7.1,0.397,7.4,13.3,0.56,0.572,3.8,4.2,0.922,1,3.8,4.8,6.2,1.4,0.6,2.5,2.6,27.2,24.4,0.612,0.347,0.205,3.3,11.4,7.5,29.4,1.9,1.6,10.1,30.5,5.6,1.5,7.1,0.187,5.7,-0.5,5.2,3.3,0,0
"242","Wesley Iwundu",2021,"SF",26,"TOT",40,4,13.2,0.8,2.4,0.33,0.1,1,0.122,0.7,1.4,0.482,0.356,0.7,0.8,0.839,0.3,1.8,2.2,0.5,0.4,0.1,0.5,1.2,2.4,4.2,0.429,0.423,0.32,2.7,15.1,8.9,4.2,1.4,0.7,14.7,10.6,-0.5,0.4,0,-0.003,-6.2,-0.4,-6.6,-0.6,0,0
"243","Frank Jackson",2021,"PG",22,"DET",40,6,18.5,3.4,7.3,0.457,1.5,3.8,0.407,1.8,3.6,0.51,0.561,1.5,1.9,0.813,0.4,1.8,2.2,0.9,0.4,0,0.9,1.3,9.8,13.3,0.598,0.512,0.256,2.2,10.8,6.5,7.9,1,0.1,9.4,21.3,0.7,0.4,1.2,0.076,-0.4,-1.6,-2.1,0,0,0
"244","Jaren Jackson Jr.",2021,"C",21,"MEM",9,2,23,4.8,11.2,0.426,1.4,5.4,0.265,3.3,5.8,0.577,0.49,3.7,4.3,0.846,1.4,4,5.4,0.9,1,1.6,1.3,3.6,14.7,18.5,0.559,0.485,0.386,6.6,18.7,12.6,5.7,2.1,6.1,9.2,26.6,0.2,0.4,0.6,0.129,-0.5,0.2,-0.3,0.1,0,0
"245","Josh Jackson",2021,"SG",23,"DET",60,24,25,4.8,11.3,0.423,1.3,4.1,0.309,3.5,7.3,0.486,0.478,2.5,3.5,0.729,0.9,3.1,4,2.2,0.9,0.7,2.3,2.9,13.3,11.9,0.519,0.358,0.305,4,14,8.9,14.6,1.7,2.5,15.4,26.5,-1.5,1.6,0.1,0.003,-2.5,-0.9,-3.4,-0.5,0,0
"246","Justin Jackson",2021,"SF",25,"OKC",33,3,16.5,2.6,6.4,0.406,1,3.4,0.306,1.6,3.1,0.515,0.486,0.9,1.1,0.857,0.4,1.7,2.2,1.5,0.5,0.1,0.9,0.9,7.2,10.7,0.519,0.524,0.165,2.6,11.1,6.8,14.5,1.3,0.3,12,20.2,-0.1,0.3,0.2,0.018,-2,-1,-2.9,-0.1,0,0
"247","Reggie Jackson",2021,"SG",30,"LAC",65,42,23.2,3.9,8.7,0.45,1.8,4.1,0.432,2.1,4.6,0.465,0.551,1,1.3,0.817,0.4,2.5,2.9,3.1,0.6,0.1,1.1,1.9,10.6,14,0.574,0.471,0.145,1.8,11.9,7,19.1,1.3,0.4,11,19.8,2.2,1.4,3.6,0.114,0.4,-0.4,-0.1,0.7,0,0
"248","Justin James",2021,"SF",24,"SAC",34,0,7.4,1,2.4,0.432,0.3,0.9,0.323,0.7,1.5,0.5,0.494,0.4,0.7,0.5,0.1,0.4,0.5,0.5,0.2,0.1,0.3,0.5,2.7,8.2,0.502,0.383,0.296,2.2,5.3,3.7,9.5,1.1,1,9.8,17.3,-0.1,0,-0.1,-0.014,-3.5,-2.8,-6.2,-0.3,0,0
"249","LeBron James",2021,"PG",36,"LAL",43,43,33.7,9.3,18.1,0.513,2.3,6.4,0.366,7,11.7,0.594,0.578,4.1,5.8,0.701,0.6,7.3,7.9,7.8,1,0.6,3.8,1.6,25,24.2,0.605,0.354,0.322,2,24.1,13.1,41.7,1.5,1.5,15.4,31.6,2.9,2.6,5.5,0.182,5.9,1.6,7.5,3.5,0,0
"250","Mike James",2021,"PG",30,"BRK",10,0,16.6,2,5.6,0.357,0.6,2,0.3,1.4,3.6,0.389,0.411,2,2.4,0.833,0.3,1.9,2.2,3.6,0.4,0.1,1.6,0.6,6.6,11.4,0.496,0.357,0.429,2.1,12.1,7.3,28.2,1.2,0.5,19.4,21.6,0,0.1,0.1,0.025,-2.2,-1.7,-4,-0.1,0,0
"251","DaQuan Jeffries",2021,"SG",23,"TOT",31,5,15.9,1.6,3.9,0.417,0.6,2.2,0.299,1,1.7,0.566,0.5,0.2,0.3,0.875,0.6,1.7,2.3,0.7,0.5,0.3,0.5,1.5,4.1,7.9,0.514,0.558,0.067,4.1,11.8,7.8,6.1,1.5,1.8,10.2,11.9,0,0.2,0.3,0.027,-3.8,-1.2,-5,-0.4,0,0
"252","Ty Jerome",2021,"SG",23,"OKC",33,1,23.9,3.9,8.7,0.446,2.2,5.1,0.423,1.7,3.6,0.479,0.57,0.8,1,0.765,0.3,2.5,2.8,3.6,0.6,0.2,1.4,1.8,10.7,13.4,0.585,0.585,0.118,1.3,10.9,6,23.8,1.2,0.7,13.5,18.8,0.8,0.4,1.3,0.078,0.1,-0.4,-0.3,0.3,0,0
"253","Isaiah Joe",2021,"SG",21,"PHI",38,1,8.8,1,3,0.345,0.8,2.3,0.348,0.2,0.6,0.333,0.482,0.3,0.5,0.722,0.2,0.7,0.9,0.5,0.3,0.1,0.2,0.8,3.2,8.4,0.504,0.788,0.159,2,8.7,5.4,7.3,1.4,1.1,6.9,16.6,0,0.4,0.4,0.063,-2.8,-1.2,-4,-0.2,0,0
"254","Alize Johnson",2021,"PF",24,"BRK",15,0,12.1,2.6,4.3,0.6,0.1,0.4,0.167,2.5,3.9,0.644,0.608,0.9,0.9,1,1.7,4.2,5.9,0.9,0.3,0.3,0.6,1,6.1,24.3,0.65,0.092,0.2,16.7,36.9,27.2,11.5,1.3,1.9,11.3,19.2,0.6,0.3,0.9,0.235,2.8,0.4,3.3,0.2,0,0
"255","Cameron Johnson",2021,"PF",24,"PHO",60,11,24,3.4,8.1,0.42,2,5.6,0.349,1.4,2.5,0.581,0.541,0.8,1,0.847,0.6,2.8,3.3,1.4,0.6,0.3,0.7,1.4,9.6,11.8,0.563,0.694,0.122,2.7,12.9,7.9,8,1.3,1,7.3,17,1.2,1.4,2.6,0.085,0,-0.6,-0.6,0.5,0,0
"256","James Johnson",2021,"PF",33,"TOT",48,9,20.4,2.8,6.4,0.444,0.6,2.4,0.252,2.2,4,0.56,0.492,0.9,1.5,0.614,0.6,2.8,3.5,1.9,0.9,0.9,1.1,2.4,7.2,11.6,0.511,0.376,0.229,3.5,15.1,9.3,12.7,2.1,4,13.2,17.1,0,1.2,1.2,0.06,-2.6,1.3,-1.3,0.2,0,0
"257","Keldon Johnson",2021,"SF",21,"SAS",65,63,28.8,4.9,10.2,0.48,0.9,2.6,0.339,4,7.7,0.528,0.523,2.1,2.9,0.737,1.4,4.8,6.2,1.8,0.6,0.4,1.1,2.1,12.8,14,0.558,0.252,0.279,5.1,18.1,11.5,8.8,1,1.1,8.6,19.1,1.7,1.7,3.4,0.087,-0.7,-1,-1.8,0.1,0,0
"258","Stanley Johnson",2021,"PF",24,"TOR",58,10,15.2,1.1,3.1,0.373,0.6,1.8,0.321,0.6,1.2,0.451,0.469,0.5,0.6,0.794,0.4,1.8,2.2,1.3,0.8,0.3,0.8,1.9,3.3,7.4,0.503,0.599,0.192,2.8,13.5,8,11.5,2.5,2,19.7,11.7,-0.3,1,0.7,0.038,-4.3,1.1,-3.2,-0.3,0,0
"259","Tyler Johnson",2021,"SG",28,"BRK",36,3,17.4,1.8,4.7,0.388,1.3,3.4,0.363,0.6,1.3,0.457,0.521,0.5,0.6,0.857,0.2,1.8,1.9,1.1,0.4,0,0.4,1,5.4,8.3,0.544,0.729,0.124,1.1,10.6,6.1,8.3,1.1,0,7.7,13.5,0.4,0.3,0.6,0.049,-2.3,-1.3,-3.6,-0.3,0,0
"260","Nikola Jokic",2021,"C",25,"DEN",69,69,35,10.2,18,0.564,1.3,3.3,0.398,8.8,14.7,0.602,0.601,4.8,5.5,0.866,2.8,8,10.8,8.4,1.3,0.7,3.2,2.7,26.5,31,0.647,0.186,0.306,9.2,26,17.6,40.3,1.9,1.9,13.4,29.5,11.7,3.3,15,0.298,9.1,2.5,11.5,8.2,0,0
"261","Damian Jones",2021,"C",25,"TOT",36,8,12.6,1.5,2.2,0.679,0,0.1,0.333,1.4,2.1,0.693,0.686,0.9,1.3,0.739,0.8,2,2.8,0.6,0.3,0.7,0.6,1.9,3.9,13.5,0.718,0.038,0.59,7.2,17.6,12.4,5.7,1.1,4.6,18.3,11.6,0.8,0.5,1.2,0.132,-2.9,0.9,-2,0,0,0
"262","Derrick Jones Jr.",2021,"SF",23,"POR",57,43,23,2.6,5.3,0.485,0.8,2.4,0.321,1.8,2.9,0.617,0.556,1,1.6,0.648,1.4,2.2,3.6,0.8,0.6,0.9,0.6,2.2,6.9,11.9,0.578,0.445,0.302,6.1,10.7,8.3,4.7,1.4,3.7,8.6,12.2,1.7,0.8,2.4,0.09,-1.5,-0.3,-1.8,0.1,0,0
"263","Mason Jones",2021,"SG",22,"TOT",32,1,10.4,1.6,3.8,0.423,0.8,2.1,0.364,0.9,1.8,0.491,0.52,1.3,2,0.625,0.2,1.5,1.7,1.3,0.2,0,0.9,0.8,5.3,12.2,0.556,0.537,0.52,2.2,16,8.8,19,1,0.3,16.1,23,0,0.2,0.2,0.029,-1.2,-1.2,-2.4,0,0,0
"264","Tre Jones",2021,"PG",21,"SAS",34,1,6.3,0.9,1.9,0.462,0.1,0.1,0.75,0.8,1.8,0.443,0.485,0.3,0.3,1,0.2,0.3,0.5,0.8,0.2,0,0.4,0.3,2.1,10.4,0.522,0.062,0.138,3.4,5.6,4.5,16.9,1.6,0,14.8,16.5,0,0.1,0.2,0.034,-3.1,-1.4,-4.5,-0.1,0,0
"265","Tyus Jones",2021,"PG",24,"MEM",67,8,17.6,2.6,6,0.439,0.7,2,0.324,2,3.9,0.498,0.494,0.6,0.6,0.902,0.3,1.7,2,3.8,0.9,0.1,0.7,0.4,6.4,15.4,0.517,0.341,0.103,1.9,10.2,6,29,2.5,0.5,9.7,16.6,1.6,1.3,2.9,0.117,0.1,0.7,0.7,0.8,0,0
"266","DeAndre Jordan",2021,"C",32,"BRK",57,43,21.9,3.3,4.4,0.763,0,0,0,3.3,4.4,0.766,0.763,0.8,1.6,0.5,2.1,5.4,7.5,1.6,0.3,1.1,1.5,2,7.5,17.1,0.736,0.004,0.369,10.9,26.4,19,10.1,0.7,4.6,22.7,13.1,2.4,1.5,3.9,0.15,0,0.7,0.7,0.8,0,0
"267","Cory Joseph",2021,"PG",29,"TOT",62,12,22.8,3.1,6.6,0.471,0.7,2.1,0.336,2.4,4.6,0.532,0.523,1.2,1.4,0.818,0.5,2,2.5,3.4,1,0.3,1.2,2.2,8.1,12.5,0.558,0.311,0.214,2.6,9.6,6.1,21.3,2.1,1,14.6,16.2,1.3,0.8,2.1,0.07,-1.9,-0.2,-2.1,-0.1,0,0
"268","Mfiondu Kabengele",2021,"PF",23,"TOT",36,0,6.3,0.8,2,0.384,0.3,1.1,0.3,0.4,0.9,0.485,0.466,0.4,0.4,0.813,0.2,0.9,1.1,0.4,0.2,0.2,0.3,0.9,2.3,9.4,0.506,0.548,0.219,3.4,15.6,9.5,9.7,1.5,2.8,12.1,17.8,-0.1,0.2,0.2,0.036,-4.3,-0.2,-4.4,-0.1,0,0
"269","Frank Kaminsky",2021,"C",27,"PHO",44,13,14.9,2.6,5.3,0.485,0.7,1.9,0.366,1.9,3.5,0.549,0.549,0.8,1.3,0.607,0.7,3.1,3.8,1.5,0.3,0.4,0.5,1.4,6.6,16.1,0.562,0.349,0.238,5.3,23.5,14.5,14.3,1,2.2,7.2,19,1,0.8,1.9,0.137,0.5,0.9,1.4,0.6,0,0
"270","Enes Kanter",2021,"C",28,"POR",69,35,24.7,4.8,7.9,0.601,0,0,0,4.8,7.9,0.604,0.601,1.8,2.3,0.774,4,7.1,11.1,1.2,0.5,0.7,1.1,2.3,11.3,22.5,0.633,0.004,0.291,16.9,31.6,24,7.4,0.9,2.5,10.7,17.4,5.6,1.7,7.2,0.204,2,-1.8,0.2,0.9,0,0
"271","Luke Kennard",2021,"SG",24,"LAC",60,15,19.3,3,6.3,0.479,1.6,3.5,0.464,1.4,2.9,0.497,0.605,0.4,0.5,0.828,0.3,2.4,2.6,1.7,0.3,0.2,0.8,1.5,8.1,12.8,0.616,0.545,0.076,1.5,13.5,7.7,12.3,0.9,0.7,10.5,16.8,1.6,1,2.6,0.11,0.5,-0.8,-0.3,0.5,0,0
"272","Louis King",2021,"SF",21,"SAC",3,0,4.7,0.3,1.3,0.25,0,1,0,0.3,0.3,1,0.25,0,0,0,0,1,1,0.3,0.3,0,0.3,1,0.7,-1.7,0.25,0.75,0,0,24.1,11.9,8.7,3.4,0,20,15.4,-0.1,0,0,-0.163,-13.7,-1,-14.6,0,0,0
"273","Maxi Kleber",2021,"PF",29,"DAL",49,40,27,2.3,5.5,0.422,1.8,4.2,0.413,0.6,1.3,0.452,0.581,0.7,0.8,0.919,0.9,4.2,5.2,1.3,0.5,0.7,0.6,2.1,7.1,10.5,0.608,0.77,0.137,3.9,17.1,10.6,6.4,0.9,2.4,9.5,10.6,1.6,1.3,2.9,0.104,-0.7,-0.1,-0.8,0.4,0,0
"274","Nathan Knight",2021,"PF",23,"ATL",31,0,8,1,2.8,0.352,0.2,0.9,0.172,0.8,1.9,0.441,0.381,1.4,1.6,0.843,0.8,1.2,2,0.2,0.3,0.3,0.5,0.7,3.5,13.4,0.498,0.33,0.58,10.9,16.7,13.8,4,1.8,2.8,12,22.1,0.1,0.3,0.3,0.061,-2.5,-1.6,-4.1,-0.1,0,0
"275","Kevin Knox",2021,"SF",21,"NYK",42,0,11,1.3,3.4,0.392,0.8,2.1,0.393,0.5,1.3,0.389,0.514,0.4,0.5,0.8,0.2,1.2,1.5,0.5,0.3,0.1,0.4,0.9,3.9,9.1,0.537,0.622,0.14,2.4,11.8,7.1,5.9,1.3,1.2,10.1,16.2,0,0.6,0.6,0.064,-1.5,-0.2,-1.7,0,0,0
"276","John Konchar",2021,"SG",24,"MEM",41,0,13.4,1.6,3.1,0.496,0.5,1.2,0.373,1.1,1.9,0.577,0.57,0.5,0.6,0.846,0.8,2.2,3,1.1,0.7,0.2,0.4,0.9,4.1,14.5,0.602,0.395,0.202,6.3,17.5,11.8,10.4,2.6,1.5,11.4,12.2,0.8,0.8,1.6,0.139,-0.7,1.3,0.7,0.4,0,0
"277","Furkan Korkmaz",2021,"SG",23,"PHI",52,10,19.3,3.1,7.7,0.408,1.9,4.8,0.385,1.3,2.8,0.446,0.529,1.1,1.6,0.728,0.3,1.8,2,1.4,0.9,0.2,0.8,1.2,9.3,13.2,0.553,0.63,0.203,1.7,9.8,5.8,10.7,2.3,0.8,9,20.5,0.7,1.4,2.1,0.1,-0.1,0.4,0.3,0.6,0,0
"278","Luke Kornet",2021,"C-PF",25,"TOT",28,0,9.7,1.3,2.8,0.443,0.5,1.8,0.28,0.8,1,0.724,0.532,0.1,0.2,0.5,0.4,1.5,1.9,0.7,0.1,0.8,0.2,0.5,3.1,13.2,0.533,0.633,0.076,4.1,17.2,10.7,9.6,0.4,7.4,6.8,13.9,0.2,0.3,0.5,0.096,-0.1,0.9,0.8,0.2,0,0
"279","Rodions Kurucs",2021,"SF-PF",22,"TOT",21,0,6,0.5,1.5,0.344,0.3,1,0.286,0.2,0.5,0.455,0.438,0.1,0.2,0.75,0.2,0.9,1.1,0.5,0.4,0.2,0.6,0.8,1.5,6.3,0.459,0.656,0.125,4.2,15.4,9.8,10.3,3.4,2.9,27.8,15.9,-0.3,0.2,-0.1,-0.041,-7,2.5,-4.6,-0.1,0,0
"280","Kyle Kuzma",2021,"SF",25,"LAL",65,32,28.8,5,11.3,0.438,2.1,5.8,0.36,2.9,5.6,0.518,0.529,1,1.4,0.705,1.7,4.5,6.2,1.8,0.5,0.6,1.7,1.8,12.9,12.7,0.543,0.51,0.12,6.5,17.4,12,9.4,0.9,1.9,12.2,20.5,0.3,2.8,3.1,0.078,-0.3,-0.5,-0.8,0.6,0,0
"281","Anthony Lamb",2021,"SF",23,"HOU",21,2,14.7,1.6,4.5,0.358,0.9,2.8,0.322,0.7,1.7,0.417,0.458,0.6,0.7,0.867,1,1.5,2.5,0.6,0.1,0.2,0.6,1.3,4.8,7.5,0.492,0.621,0.158,6.9,11.1,9,5.5,0.5,1.5,11.3,15.8,-0.1,0.1,0,0.002,-4.1,-2.8,-6.9,-0.4,0,0
"282","Jeremy Lamb",2021,"SG",28,"IND",36,8,21.3,3.3,7.7,0.435,1.4,3.6,0.406,1.9,4.1,0.459,0.529,2,2.1,0.947,0.7,2.9,3.6,1.5,0.9,0.6,0.6,2,10.1,15.8,0.587,0.464,0.272,3.6,14.9,9.3,9.5,2.1,2.4,6.6,18.5,1.2,0.9,2.1,0.134,0.9,0.4,1.3,0.6,0,0
