"","Player","Season","Pos","Age","Tm","G","GS","MP","FGM","FGA","FGP","X3PM","X3PA","X3PP","X2PM","X2PA","X2PP","EFG","FTM","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS","X3PAR","FTR","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USG","OWS","DWS","WS","WS48","OBPM","DBPM","BPM","VORP","ROY"
"69","R.J. Hampton",2021,"PG-SG",19,"TOT",49,1,16.9,2.6,5.9,0.436,0.5,1.6,0.291,2.1,4.2,0.49,0.476,1,1.5,0.68,0.5,2.7,3.3,1.5,0.4,0.2,1,1.2,6.6,10.7,0.506,0.275,0.261,3.3,17.7,10.3,13.5,1.2,1,12.8,19.2,-0.3,0.7,0.4,0.021,-3.3,-1,-4.3,-0.5,0
"70","Reggie Perry",2021,"PF",20,"BRK",23,0,8.8,1.4,3.3,0.421,0.2,0.9,0.19,1.2,2.4,0.509,0.447,0.4,0.6,0.769,1.1,1.9,3,0.6,0.3,0.3,0.6,1.6,3.4,12,0.477,0.276,0.171,14.9,22.4,18.8,9.4,1.4,2.6,14.6,20.5,0,0.2,0.2,0.051,-4.3,-1.5,-5.8,-0.2,0
"71","Robert Franks",2021,"PF",24,"ORL",7,0,14.4,1.9,4,0.464,0.7,2.1,0.333,1.1,1.9,0.615,0.554,1.7,1.9,0.923,0.9,1.1,2,0.7,0.4,0.4,0.3,1.1,6.1,16.5,0.638,0.536,0.464,6,8.5,7.2,7.4,1.4,2.7,5.6,15.3,0.3,0.1,0.3,0.16,0.4,-0.7,-0.3,0,0
"72","Robert Woodard",2021,"SF",21,"SAC",11,0,2.6,0.6,1.3,0.5,0.1,0.4,0.25,0.5,0.9,0.6,0.536,0.3,0.7,0.375,0.3,0.7,1,0,0,0.2,0.1,0.2,1.6,18.4,0.514,0.286,0.571,11.4,31.1,21.1,0,0,5.8,5.4,27.5,0,0,0,0.037,0.2,-3.3,-3.2,0,0
"73","Saben Lee",2021,"PG",21,"DET",46,7,16,2,4.4,0.468,0.2,0.5,0.364,1.9,3.9,0.48,0.488,1.3,1.9,0.685,0.4,1.6,2,3.6,0.7,0.3,1.1,1.6,5.6,14.1,0.535,0.109,0.443,3,11.1,7,33.5,2.1,1.4,17.8,17.4,0.7,0.7,1.4,0.095,-2.1,0.4,-1.7,0.1,0
"74","Saddiq Bey",2021,"SF",21,"DET",68,51,27,3.9,9.6,0.409,2.5,6.4,0.389,1.5,3.2,0.45,0.538,1.7,2,0.853,0.6,3.9,4.5,1.3,0.7,0.2,0.8,1.6,12.1,12.7,0.574,0.664,0.208,2.5,16.3,9.4,7.5,1.3,0.6,7.4,18.4,1.7,1.6,3.3,0.087,0.4,-1,-0.6,0.7,0
"75","Sam Merrill",2021,"SG",24,"MIL",28,1,7.3,1.1,2.3,0.492,0.8,1.5,0.5,0.4,0.8,0.476,0.659,0.1,0.1,1,0.2,0.8,1,0.7,0.2,0,0.4,0.5,3.1,13.9,0.672,0.667,0.063,3.2,10.4,6.9,12.6,1.2,0.4,13.4,15.3,0.4,0.2,0.6,0.133,0.9,-0.7,0.3,0.1,0
"76","Sean McDermott",2021,"SF",24,"MEM",18,0,8.8,0.7,1.8,0.394,0.3,1.2,0.227,0.4,0.6,0.727,0.47,0.4,0.4,1,0.3,0.7,1.1,0.2,0.1,0.2,0.2,0.4,2.2,7.2,0.534,0.667,0.242,4,8.8,6.4,3.1,0.6,1.7,9.9,10.8,0.1,0.1,0.2,0.05,-3.3,-1.8,-5.1,-0.1,0
"77","Skylar Mays",2021,"SG",23,"ATL",31,0,7.7,1.2,2.7,0.424,0.4,1.1,0.343,0.8,1.6,0.48,0.494,0.7,0.8,0.88,0.3,0.7,1,0.7,0.5,0,0.3,0.5,3.4,15.6,0.552,0.412,0.294,4.7,9.6,7.2,14,2.9,0,7.7,19,0.4,0.2,0.6,0.123,0.3,0.4,0.7,0.2,0
"78","Theo Maledon",2021,"PG",19,"OKC",63,47,27.5,3.5,9.4,0.366,1.6,4.8,0.336,1.8,4.6,0.399,0.452,1.6,2.1,0.744,0.4,2.9,3.3,3.5,0.9,0.2,2.2,2,10.1,8,0.487,0.511,0.224,1.5,11.2,6.3,18.8,1.5,0.6,17.3,19.4,-1.9,1.1,-0.8,-0.022,-4.2,-1.1,-5.3,-1.5,0
