"","Player","Season","Pos","Age","Tm","G","GS","MP","FGM","FGA","FGP","X3PM","X3PA","X3PP","X2PM","X2PA","X2PP","EFG","FTM","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS","X3PAR","FTR","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USG","OWS","DWS","WS","WS48","OBPM","DBPM","BPM","VORP","SMOY"
"131","Rondae Hollis-Jefferson",2021,"PF",26,"POR",11,1,9.7,0.8,1.6,0.5,0,0.1,0,0.8,1.5,0.529,0.5,0.8,1.5,0.563,1,1.4,2.4,1.2,0.2,0.4,0.2,1.4,2.5,14.4,0.539,0.056,0.889,10.6,15.4,13,15.7,0.9,3.4,7.4,10.9,0.3,0.1,0.3,0.147,-1.4,0.8,-0.6,0,0
"132","Rodney Hood",2021,"SF",28,"TOT",55,5,17.1,1.7,4.7,0.362,0.6,2.1,0.301,1.1,2.7,0.408,0.427,0.4,0.5,0.857,0.4,1.5,1.9,1,0.4,0.1,0.7,1.3,4.5,5.6,0.452,0.435,0.108,2.5,9.5,5.9,7.5,1.2,0.7,11.7,14.1,-0.7,0.3,-0.4,-0.019,-5.3,-1.8,-7.1,-1.2,0
"133","Talen Horton-Tucker",2021,"SG",20,"LAL",62,3,19.8,3.4,7.5,0.455,0.5,2,0.274,2.8,5.5,0.521,0.491,1.5,1.9,0.791,0.4,2.3,2.7,2.7,1,0.3,1.6,2,8.8,12.6,0.532,0.268,0.249,2.3,12.7,7.5,20.7,2.3,1.5,16.5,21.7,-0.2,2.1,1.9,0.073,-2.7,1.4,-1.4,0.2,0
"134","Dwight Howard",2021,"C",35,"PHI",67,5,17.4,2.6,4.4,0.586,0.1,0.3,0.25,2.5,4.1,0.61,0.594,1.8,3.1,0.577,2.8,5.7,8.4,0.9,0.4,0.9,1.6,2.9,7.1,17.9,0.609,0.067,0.7,17.9,35.2,26.8,7.1,1.2,4.8,21.8,18.3,1.3,2.6,3.9,0.161,-2.2,0.3,-1.8,0,0
"135","Markus Howard",2021,"SG",21,"DEN",34,0,3.6,0.5,1.9,0.277,0.2,1.3,0.186,0.3,0.6,0.455,0.338,0.1,0.1,0.6,0,0.4,0.4,0.4,0.1,0,0.3,0.5,1.4,-1.3,0.35,0.662,0.077,0.9,11.1,6.1,13.3,1.2,0,14.1,28,-0.6,0.1,-0.5,-0.199,-10.9,-4.5,-15.4,-0.4,0
"136","Elijah Hughes",2021,"SF",22,"UTA",17,0,3.6,0.6,1.8,0.333,0.5,1.4,0.348,0.1,0.4,0.286,0.467,0.2,0.2,0.75,0,0.4,0.4,0.4,0.1,0.1,0.4,0.1,1.8,7.9,0.488,0.767,0.133,0,11.5,6,13.9,0.8,1.3,15.9,26.3,-0.1,0.1,0,-0.028,-2.1,-2,-4.1,0,0
"137","Chandler Hutchison",2021,"SF",24,"TOT",22,0,13.6,1.6,4.2,0.38,0.3,0.9,0.368,1.3,3.3,0.384,0.418,0.7,0.9,0.842,0.3,2.9,3.1,0.8,0.5,0.2,0.8,1.2,4.2,7,0.463,0.207,0.207,2.2,22.5,12.4,7.4,1.7,1.1,15.2,16.5,-0.4,0.4,-0.1,-0.011,-5.7,-0.2,-6,-0.3,0
"138","Andre Iguodala",2021,"SF",37,"MIA",61,5,21.2,1.5,4,0.384,1,3,0.333,0.6,1.1,0.523,0.506,0.4,0.6,0.658,0.6,2.9,3.5,2.3,0.9,0.5,1,1.4,4.5,9.5,0.522,0.735,0.155,3.2,15.5,9.4,14.5,2.2,2.7,19.2,11.3,0,1.8,1.8,0.066,-2.4,1.8,-0.5,0.5,0
"139","Ersan Ilyasova",2021,"PF",33,"UTA",16,1,8.9,1.3,3.1,0.429,1.1,2.4,0.474,0.2,0.7,0.273,0.612,0.3,0.3,1,0.3,1.4,1.7,0.3,0.6,0.2,0.5,1.8,4.1,13.4,0.635,0.776,0.102,3.9,15.6,10,3.9,3.4,1.7,13.5,17.9,0.1,0.3,0.4,0.146,-1.9,2.2,0.3,0.1,0
"140","Joe Ingles",2021,"SF",33,"UTA",64,27,27.8,4.2,8.3,0.498,2.8,6,0.459,1.4,2.3,0.601,0.664,1.1,1.3,0.845,0.4,3.2,3.7,4.7,0.7,0.2,1.7,1.8,12.2,16.2,0.683,0.723,0.157,1.7,11.8,7,24,1.2,0.5,16.3,16.5,4.7,2.1,6.9,0.185,3,0.7,3.7,2.5,0
